horizon,model,weight,val_ipcw_cindex
36,cox_ph,0.020035852559590284,0.7432720996152833
36,lasso,0.005656152222984049,0.7432720996152833
36,elastic_net,0.01071115871337873,0.7432720996152833
36,survival_svm,0.06730466724797317,0.7432720996152833
36,gbm,0.3596807935005599,0.7432720996152833
36,random_survival_forest,0.06099818670679423,0.7432720996152833
36,deephit,0.1517806134548301,0.7432720996152833
36,superpc_r,0.01860149454709337,0.7432720996152833
36,conditional_inference_survival_forest_r,0.30523108104679625,0.7432720996152833
60,cox_ph,0.014666611005632761,0.7113801372765998
60,lasso,0.018860313068987947,0.7113801372765998
60,elastic_net,0.059490315190796096,0.7113801372765998
60,survival_svm,0.11559136897099481,0.7113801372765998
60,gbm,0.14041147305289708,0.7113801372765998
60,random_survival_forest,0.00028456013756823995,0.7113801372765998
60,deephit,0.2598438922426866,0.7113801372765998
60,superpc_r,0.10167671265907999,0.7113801372765998
60,conditional_inference_survival_forest_r,0.2891747536713564,0.7113801372765998
84,cox_ph,0.03513098747570101,0.688101206974867
84,lasso,0.20123130097744973,0.688101206974867
84,elastic_net,0.1538518788701047,0.688101206974867
84,survival_svm,0.0378918377485857,0.688101206974867
84,gbm,0.14939917245046738,0.688101206974867
84,random_survival_forest,0.004699713704680174,0.688101206974867
84,deephit,0.22281235125173604,0.688101206974867
84,superpc_r,0.0020422761139764424,0.688101206974867
84,conditional_inference_survival_forest_r,0.19294048140729883,0.688101206974867
120,cox_ph,0.00552240790021983,0.6598244678930659
120,lasso,0.274381019461805,0.6598244678930659
120,elastic_net,0.06312494278505557,0.6598244678930659
120,survival_svm,0.014536255043683749,0.6598244678930659
120,gbm,0.08942745697907042,0.6598244678930659
120,random_survival_forest,0.0028907834489052416,0.6598244678930659
120,deephit,0.39071837191682834,0.6598244678930659
120,superpc_r,0.00833046624430664,0.6598244678930659
120,conditional_inference_survival_forest_r,0.15106829622012521,0.6598244678930659
