model,val_harrell_cindex,val_ipcw_cindex,test_harrell_cindex,test_ipcw_cindex,test_brier_36,test_brier_60,test_brier_84,test_brier_120
manuscript_survivalquilts_9model,0.697722964948883,0.7113801372765998,0.6909610395097666,0.6981866356596735,0.0958158222479124,0.1413473230844477,0.1740510976506818,0.21059047811361
gbm,0.694311404744113,0.6339086908034721,0.6892715424946412,0.6315072110245717,0.096469370453414,0.1398902092663095,0.1741272326982594,0.2086131202702548
conditional_inference_survival_forest_r,0.6946447763006758,0.6319918027088458,0.6873922365485401,0.6314056694299836,0.09528479054073473,0.13873213233424558,0.17326777535975466,0.20826018128843343
lasso,0.6915626765261814,0.6286850978362816,0.6831731341459293,0.627347008963001,0.0963825372930858,0.1397115627844666,0.1741009763540409,0.2091933228140915
elastic_net,0.6914722671576623,0.6284387056342077,0.6830881001302754,0.6271436085900649,0.0964011745820738,0.1397220817713245,0.1741062287799149,0.2092142953819699
cox_ph,0.6896270846893557,0.6281812454656913,0.681493248624358,0.6258204705974638,0.0962345579077304,0.1395437572021925,0.1739597277524885,0.2090547794127984
survival_svm,0.6901278411144057,0.6275253409089119,0.6825485737543258,0.626457590212073,,,,
random_survival_forest,0.6900565150190745,0.625868126946811,0.6790891045433963,0.6216167800881249,0.0956711951587935,0.1400479369080756,0.1756937674996374,0.2115865078922794
superpc_r,0.6536249215908928,0.603759419046797,0.6475571124462121,0.6042858241190199,0.11440370944029866,0.1630579716586933,0.19870826522579046,0.2325860510270073
deephit,0.40570545655588,0.4138942689743023,0.4151564798124068,0.4188686118301797,0.10493436863568678,0.1528047505172162,0.18953953781705404,0.22549677571778132
